Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
A;Agilent Technologies;XLV;Health Care;Health Care Equipment;California;5/6/2000;1999;18.300;6.993.999.872;3.271.999.872;3.722.000.000;2.967.000.064;32.286.976.000
AAL;American Airlines Group;XLI;Industrials;Passenger Airlines;Texas;23/3/2015;1934;132.500;52.893.999.104;41.450.999.104;11.443.000.000;42.582.999.040;8.395.701.760
AAPL;Apple Inc.;XLK;Information Technology;Technology Hardware, Storage & Peripherals;California;30/11/1982;1977;164.000;383.932.989.440;213.150.989.440;170.782.000.000;109.280.002.048;2.734.577.942.528
ABBV;AbbVie;XLV;Health Care;Pharmaceuticals;Illinois;31/12/2012;1888;50.000;56.022.999.040;14.495.999.040;41.527.000.000;61.392.998.400;260.256.612.352
ABNB;Airbnb;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;California;18/9/2023;2008;6.811;9.088.000.000;2.188.000.000;6.900.000.000;2.324.000.000;79.754.117.120
ABT;Abbott;XLV;Health Care;Health Care Equipment;Illinois;4/3/1957;1888;115.000;40.226.000.896;15.647.000.896;24.579.000.000;16.988.000.256;166.941.622.272
ACGL;Arch Capital Group;XLF;Financials;Reinsurance;Bermuda;1/11/2022;1995;5.800;11.788.808.192;8.941.097.192;2.847.711.000;2.726.000.128;30.447.962.112
ACN;Accenture;XLK;Information Technology;IT Consulting & Other Services;Ireland;6/7/2011;1989;733.000;64.111.742.976;43.380.135.976;20.731.607.000;3.149.033.984;194.933.440.512
ADBE;Adobe Inc.;XLK;Information Technology;Application Software;California;5/5/1997;1982;29.239;18.886.000.640;3.445.000.640;15.441.000.000;4.096.000.000;235.135.139.840
ADI;Analog Devices;XLK;Information Technology;Semiconductors;Massachusetts;12/10/1999;1965;24.450;12.836.770.816;5.032.900.816;7.803.870.000;7.027.979.776;85.759.836.160
ADM;ADM;XLP;Consumer Staples;Agricultural Products & Services;Illinois;4/3/1957;1902;40.360;99.883.999.232;92.313.999.232;7.570.000.000;9.825.000.448;39.205.138.432
ADP;ADP;XLI;Industrials;Human Resource & Employment Services;New Jersey;31/3/1981;1949;63.000;18.012.200.960;9.502.200.960;8.510.000.000;3.540.999.936;100.257.505.280
ADSK;Autodesk;XLK;Information Technology;Application Software;California;1/12/1989;1982;13.700;5.212.000.256;629.000.256;4.583.000.000;2.664.999.936;43.599.306.752
AEE;Ameren;XLU;Utilities;Multi-Utilities;Missouri;19/9/1991;1902;9.244;7.888.999.936;4.545.999.936;3.343.000.000;16.007.000.064;19.246.438.400
AEP;American Electric Power;XLU;Utilities;Electric Utilities;Ohio;4/3/1957;1906;16.974;19.470.600.192;11.056.500.192;8.414.100.000;44.660.101.120;36.747.505.664
AES;AES Corporation;XLU;Utilities;Independent Power Producers & Energy Traders;Virginia;2/10/1998;1981;9.100;12.952.999.936;10.404.999.936;2.548.000.000;26.542.999.552;8.444.021.248
AFL;Aflac;XLF;Financials;Life & Health Insurance;Atlanta;28/5/1999;1955;12.882;18.986.000.384;10.906.000.384;8.080.000.000;12.357.000.192;45.410.103.296
AIG;American International Group;XLF;Financials;Property & Casualty Insurance;New York;31/3/1980;1919;26.200;51.549.999.104;26.581.999.104;24.968.000.000;24.145.000.448;42.820.788.224
AIZ;Assurant;XLF;Financials;Multi-line Insurance;New York;10/4/2007;1892;13.700;10.574.999.552;9.860.599.552;714.400.000;2.129.400.064;7.740.784.128
AJG;Arthur J. Gallagher & Co.;XLF;Financials;Insurance Brokers;Illinois;31/5/2016;1927;45.641;8.836.299.776;5.192.399.776;3.643.900.000;7.466.100.224;49.471.557.632
AKAM;Akamai;XLK;Information Technology;Internet Services & Infrastructure;Massachusetts;12/7/2007;1998;9.800;3.661.093.888;1.423.276.888;2.237.817.000;3.283.006.976;16.029.995.008
ALB;Albemarle Corporation;XLB;Materials;Specialty Chemicals;North Carolina;1/7/2016;1994;7.400;9.663.224.832;6.585.437.832;3.077.787.000;3.663.938.048;18.192.306.176
ALGN;Align Technology;XLV;Health Care;Health Care Supplies;Arizona;19/6/2017;1997;22.910;3.737.182.976;1.100.507.976;2.636.675.000;133.420.000;21.442.828.288
ALK;Alaska Air Group;XLI;Industrials;Passenger Airlines;Washington;13/5/2016;1985;23.140;10.341.000.192;7.984.000.192;2.357.000.000;3.886.000.128;4.539.352.576
ALL;Allstate;XLF;Financials;Property & Casualty Insurance;Illinois;13/7/1995;1931;54.000;54.621.999.104;48.178.999.104;6.443.000.000;7.951.000.064;29.393.070.080
ALLE;Allegion;XLI;Industrials;Building Products;New York;2/12/2013;1908;12.300;3.610.700.032;2.288.300.032;1.322.400.000;2.207.200.000;9.019.395.072
AMAT;Applied Materials;XLK;Information Technology;Semiconductor Materials & Equipment;California;16/3/1995;1967;34.500;26.542.999.552;14.549.999.552;11.993.000.000;6.098.999.808;116.512.456.704
AMCR;Amcor;XLB;Materials;Paper & Plastic Packaging Products & Materials;United Kingdom;7/6/2019;1860;41.000;14.693.999.616;11.968.999.616;2.725.000.000;7.406.000.128;12.916.709.376
AMD;AMD;XLK;Information Technology;Semiconductors;California;20/3/2017;1969;25.000;21.876.000.768;9.825.000.768;12.051.000.000;2.860.000.000;166.268.600.320
AME;Ametek;XLI;Industrials;Electrical Components & Equipment;Pennsylvania;23/9/2013;1930;19.600;6.420.681.216;4.275.412.216;2.145.269.000;2.367.415.040;34.239.969.280
AMGN;Amgen;XLV;Health Care;Biotechnology;California;2/1/1992;1980;25.200;26.581.999.616;6.664.999.616;19.917.000.000;61.544.001.536;141.791.543.296
AMP;Ameriprise Financial;XLF;Financials;Asset Management & Custody Banks;Minnesota;3/10/2005;1894;13.500;15.082.999.808;7.238.999.808;7.844.000.000;4.132.999.936;33.077.385.216
AMT;American Tower;XLRE;Real Estate;Telecom Tower REITs;Massachusetts;19/11/2007;1995;6.391;10.915.399.680;3.468.099.680;7.447.300.000;47.176.499.200;73.983.623.168
AMZN;Amazon;XLY;Consumer Discretionary;Broadline Retail;Washington;18/11/2005;1994;1.541.000;538.046.005.248;312.894.005.248;225.152.000.000;174.285.996.032;1.299.630.129.152
ANET;Arista Networks;XLK;Information Technology;Communications Equipment;California;28/8/2018;2004;3.612;5.262.627.840;2.586.931.840;2.675.696.000;51.702.000;58.210.512.896
ANSS;Ansys;XLK;Information Technology;Application Software;Pennsylvania;19/6/2017;1969;6.000;2.172.672.000;288.388.000;1.884.284.000;882.257.024;25.185.042.432
AON;Aon;XLF;Financials;Insurance Brokers;United Kingdom;23/4/1996;1919;50.000;12.874.000.384;7.051.000.384;5.823.000.000;12.204.999.680;66.104.217.600
AOS;A. O. Smith;XLI;Industrials;Building Products;Wisconsin;26/7/2017;1916;12.000;3.737.499.904;2.407.899.904;1.329.600.000;240.900.000;9.942.940.672
APA;APA Corporation;XLE;Energy;Oil & Gas Exploration & Production;Texas;28/7/1997;1954;2.273;7.872.999.936;236.999.936;7.636.000.000;5.678.000.128;11.593.108.480
APD;Air Products and Chemicals;XLB;Materials;Industrial Gases;Pennsylvania;30/4/1985;1940;19.710;12.978.700.288;9.618.600.288;3.360.100.000;10.110.199.808;62.170.611.712
APH;Amphenol;XLK;Information Technology;Electronic Components;Connecticut;30/9/2008;1932;91.000;12.562.400.256;8.534.200.256;4.028.200.000;4.319.200.256;49.290.960.896
APTV;Aptiv;XLY;Consumer Discretionary;Automotive Parts & Equipment;Ireland;24/12/2012;1994;160.000;19.271.999.488;16.625.999.488;2.646.000.000;7.001.999.872;26.602.424.320
ARE;Alexandria Real Estate Equities;XLRE;Real Estate;Office REITs;California;20/3/2017;1994;593;2.745.414.912;938.960.912;1.806.454.000;11.569.907.712;16.956.743.680
ATO;Atmos Energy;XLU;Utilities;Gas Utilities;Texas;15/2/2019;1906;4.791;4.410.342.912;2.601.497.912;1.808.845.000;6.650.158.080;15.950.757.888
ATVI;Activision Blizzard;XLC;Communication Services;Interactive Home Entertainment;California;31/8/2015;2008;13.000;8.705.999.872;3.399.999.872;5.306.000.000;3.612.000.000;73.699.368.960
AVB;AvalonBay Communities;XLRE;Real Estate;Multi-Family Residential REITs;Virginia;10/1/2007;1978;2.859;2.722.797.056;1.033.215.056;1.689.582.000;8.217.655.808;24.179.642.368
AVGO;Broadcom Inc.;XLK;Information Technology;Semiconductors;California;8/5/2014;1961;20.000;35.454.001.152;10.507.001.152;24.947.000.000;39.340.998.656;340.036.681.728
AVY;Avery Dennison;XLB;Materials;Paper & Plastic Packaging Products & Materials;California;31/12/1987;1990;2.900;8.498.500.096;6.094.300.096;2.404.200.000;3.545.499.904;14.729.729.024
AWK;American Water Works;XLU;Utilities;Water Utilities;New Jersey;4/3/2016;1886;6.500;4.048.000.000;1.845.000.000;2.203.000.000;12.263.000.064;23.113.050.112
AXON;Axon Enterprise;XLI;Industrials;Aerospace & Defense;Arizona;4/5/2023;1993;2.821;1.365.543.936;636.905.936;728.638.000;716.864.000;14.661.183.488
AXP;American Express;XLF;Financials;Consumer Finance;New York;30/6/1976;1850;77.300;53.008.998.400;24.232.998.400;28.776.000.000;48.831.000.576;108.325.748.736
AZO;AutoZone;XLY;Consumer Discretionary;Automotive Retail;Tennessee;2/1/1997;1979;87.000;17.457.209.344;8.386.787.344;9.070.422.000;10.585.594.880;45.583.564.800
BA;Boeing;XLI;Industrials;Aerospace & Defense;Illinois;4/3/1957;1916;156.000;73.608.003.584;67.840.003.584;5.768.000.000;52.267.999.232;112.370.860.032
BAC;Bank of America;XLF;Financials;Diversified Banks;North Carolina;30/6/1976;1874;216.000;96.442.998.784;4.035.998.784;92.407.000.000;679.177.027.584;207.082.405.888
BALL;Ball Corporation;XLB;Materials;Metal, Glass & Plastic Containers;Colorado;31/10/1984;1880;21.000;14.554.000.384;11.971.000.384;2.583.000.000;10.215.000.064;15.034.615.808
BAX;Baxter International;XLV;Health Care;Health Care Equipment;Illinois;30/9/1972;1931;60.000;15.180.999.680;9.149.999.680;6.031.000.000;16.920.999.936;18.747.113.472
BBWI;Bath & Body Works, Inc.;XLY;Consumer Discretionary;Specialty Stores;Ohio;30/9/1983;1963;8.800;7.448.000.000;4.193.000.000;3.255.000.000;5.890.999.808;7.358.049.280
BBY;Best Buy;XLY;Consumer Discretionary;Computer & Electronics Retail;Minnesota;29/6/1999;1966;52.200;44.372.000.768;34.460.000.768;9.912.000.000;4.028.999.936;14.718.857.216
BDX;Becton Dickinson;XLV;Health Care;Health Care Equipment;New Jersey;30/9/1972;1897;77.000;19.046.000.640;10.432.000.640;8.614.000.000;16.782.000.128;75.732.951.040
BEN;Franklin Templeton;XLF;Financials;Asset Management & Custody Banks;California;30/4/1998;1947;9.300;7.802.299.904;4.286.999.904;3.515.300.000;3.853.499.904;11.925.573.632
BF.B;Brown Forman;XLP;Consumer Staples;Distillers & Vintners;Kentucky;31/10/1982;1870;5.200;187.500.000.000;137.500.000.000;50.000.000.000;52.500.000.000;250.000.000.000
BG;Bunge Limited;XLP;Consumer Staples;Agricultural Products & Services;Missouri;15/3/2023;1818;23.000;63.795.998.720;59.877.998.720;3.918.000.000;5.848.000.000;15.642.664.960
BIIB;Biogen;XLV;Health Care;Biotechnology;Massachusetts;13/11/2003;1978;8.725;9.971.500.032;2.076.400.032;7.895.100.000;6.589.000.192;37.620.670.464
BIO;Bio-Rad;XLV;Health Care;Life Sciences Tools & Services;California;22/6/2020;1952;8.200;2.769.041.920;1.200.611.920;1.568.430.000;1.382.252.032;10.327.737.344
BK;BNY Mellon;XLF;Financials;Asset Management & Custody Banks;New York;31/3/1995;1784;53.200;16.992.000.000;654.000.000;16.338.000.000;79.135.997.952;32.467.421.184
BKNG;Booking Holdings;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Connecticut;6/11/2009;1996;23.100;19.341.000.704;4.716.000.704;14.625.000.000;14.586.000.384;107.746.189.312
BKR;Baker Hughes;XLE;Energy;Oil & Gas Equipment & Services;Texas;7/7/2017;2017;57.000;23.303.999.488;18.872.999.488;4.431.000.000;6.710.000.128;35.317.313.536
BLK;BlackRock;XLF;Financials;Asset Management & Custody Banks;New York;4/4/2011;1988;19.300;17.354.000.384;8.567.000.384;8.787.000.000;9.717.999.616;95.598.714.880
BMY;Bristol Myers Squibb;XLV;Health Care;Pharmaceuticals;New York;4/3/1957;1887;34.300;45.186.998.272;8.808.998.272;36.378.000.000;39.209.000.960;117.867.020.288
BR;Broadridge Financial Solutions;XLI;Industrials;Data Processing & Outsourced Services;New York;18/6/2018;1962;14.700;6.060.899.840;4.275.499.840;1.785.400.000;3.652.600.064;21.091.799.040
BRK.B;Berkshire Hathaway;XLF;Financials;Multi-Sector Holdings;Nebraska;16/2/2010;1839;371.650;308.369.200.000;112.818.000.000;195.551.200.000;902.544.000.000;752.120.000.000
BRO;Brown & Brown;XLF;Financials;Insurance Brokers;Florida;20/9/2021;1939;15.201;3.968.999.936;2.218.999.936;1.750.000.000;4.047.600.128;20.068.456.448
BSX;Boston Scientific;XLV;Health Care;Health Care Equipment;Massachusetts;24/2/1995;1979;45.000;13.400.000.512;4.721.000.512;8.679.000.000;9.454.000.128;75.670.888.448
BWA;BorgWarner;XLY;Consumer Discretionary;Automotive Parts & Equipment;Michigan;19/12/2011;1880;52.700;16.867.999.744;13.766.999.744;3.101.000.000;4.450.999.808;9.087.536.128
BX;Blackstone;XLF;Financials;Asset Management & Custody Banks;New York;18/9/2023;1985;4.695;6.655.678.976;-397.538.024;7.053.217.000;13.424.132.096;126.769.020.928
BXP;Boston Properties;XLRE;Real Estate;Office REITs;Massachusetts;3/4/2006;1970;780;3.169.420.032;1.217.293.032;1.952.127.000;15.912.904.704;8.569.534.464
C;Citigroup;XLF;Financials;Diversified Banks;New York;31/5/1988;1998;240.000;70.803.996.672;243.996.672;70.560.000.000;634.030.981.120;76.796.919.808
CAG;Conagra Brands;XLP;Consumer Staples;Packaged Foods & Meats;Illinois;31/8/1983;1919;18.600;12.276.700.160;9.791.791.718;2.484.908.442;9.273.600.000;12.424.542.208
CAH;Cardinal Health;XLV;Health Care;Health Care Distributors;Ohio;27/5/1997;1971;47.040;205.011.992.576;201.250.314.916;3.761.677.660;5.269.000.192;22.127.515.648
CARR;Carrier Global;XLI;Industrials;Building Products;Florida;3/4/2020;1915;52.000;21.820.999.680;16.347.999.680;5.473.000.000;9.274.000.384;44.821.475.328
CAT;Caterpillar Inc.;XLI;Industrials;Construction Machinery & Heavy Transportation Equipment;Texas;4/3/1957;1925;111.247;73.325.362.217;53.956.398.612;19368963604;35.970.932.408;138.349.740.032
CB;Chubb Limited;XLF;Financials;Property & Casualty Insurance;Switzerland;15/7/2010;1985;34.000;46.499.999.744;35.873.999.744;10.626.000.000;18.407.000.064;86.566.510.592
CBOE;Cboe Global Markets;XLF;Financials;Financial Exchanges & Data;Illinois;1/3/2017;1973;1.543;3.894.200.064;2.152.500.064;1.741.700.000;1.743.500.032;16.904.879.104
CBRE;CBRE Group;XLRE;Real Estate;Real Estate Services;Texas;10/11/2006;1906;115.000;30.855.012.352;24.232.854.352;6.622.158.000;5.475.999.744;22.398.189.568
CCI;Crown Castle;XLRE;Real Estate;Telecom Tower REITs;Texas;14/3/2012;1994;5.000;7.150.000.128;2.232.000.128;4.918.000.000;28.509.999.104;38.948.712.448
CCL;Carnival;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Florida;22/12/1998;1972;87.000;20.035.999.744;16.225.999.744;3.810.000.000;32.644.999.168;17.373.257.728
CDAY;Ceridian;XLI;Industrials;Human Resource & Employment Services;Minnesota;20/9/2021;1992;8.526;1.388.199.936;832.599.936;555.600.000;1.249.299.968;10.995.614.720
